year,month,cat_name,location,total_money,total_discount
2017,3,Lagers/Pils/Wheat - Bottled,The Dram Shop Front St.,87.0,9.5
2017,3,Lagers/Pils/Wheat - Draught,The Dram Shop Front St.,5059.03,231.97
2017,3,Misc.,The Dram Shop Front St.,89.0,0.0
2017,3,Porters/Stouts - Bottled,The Dram Shop Front St.,41.5,0.0
2017,3,Porters/Stouts - Draught,The Dram Shop Front St.,4309.4,114.85
2017,3,Red Wine - Bottled,The Dram Shop Front St.,39.0,0.0
2017,3,Seasonal/Event,The Dram Shop Front St.,3829.53,52.97
2017,3,Snacks,The Dram Shop Front St.,294.49,24.51
2017,3,Soda - Bottled,The Dram Shop Front St.,22.74,1.26
2017,3,Soda - Draught,The Dram Shop Front St.,542.79,30.21
2017,3,Softgoods,The Dram Shop Front St.,137.43,16.57
2017,3,Sour - Bottled,The Dram Shop Front St.,104.5,2.0
2017,3,Sour - Draught,The Dram Shop Front St.,4766.98,191.77
2017,3,Sparkling Wine - Bottled,The Dram Shop Front St.,81.5,4.5
2017,3,Tastings,The Dram Shop Front St.,210.0,0.0
2017,3,White Wine - Bottled,The Dram Shop Front St.,48.75,9.25
2017,3,Wine - Bottled,The Dram Shop Front St.,73.75,26.25
2017,3,Wine - Draught,The Dram Shop Front St.,3696.44,59.06
2017,4,,The Dram Shop Front St.,3313.28,196.72
2017,4,Ambers/Pales - Bottled,The Dram Shop Front St.,24.0,0.0
2017,4,Ambers/Pales - Draught,The Dram Shop Front St.,3881.88,260.62
2017,4,Barley Wine - Bottled,The Dram Shop Front St.,44.5,0.0
2017,4,Belgian - Bottled,The Dram Shop Front St.,158.0,36.0
2017,4,Belgian - Draught,The Dram Shop Front St.,2240.0,127.75
2017,4,Big Beer - Draught,The Dram Shop Front St.,186.75,0.0
2017,4,Cider - Bottled,The Dram Shop Front St.,222.36,4.14
2017,4,Cider - Draught,The Dram Shop Front St.,5680.37,240.38
2017,4,FLIGHT,The Dram Shop Front St.,15.0,0.0
2017,4,Glassware,The Dram Shop Front St.,216.5,1.5
