clean_item_name,year,month,location,total_sales,transactions,total_quantity_sold,average_base_price,median_base_price
Habanero,2023,10,The Dram Shop Front St.,83.0,6,8.0,11.44,8.5
Habanero Cider,2023,10,The Dram Shop Central,10.0,1,1.0,10.0,10.0
Hablo / Gulp Red,2023,10,The Dram Shop Central,17.5,1,1.0,17.5,17.5
Halo Huckleberry Hefe,2023,10,The Dram Shop Front St.,243.75,31,46.0,5.28,5.5
Harvest Fresh IPA,2023,10,The Dram Shop Front St.,666.07,65,100.0,6.84,7.0
Hazy Wonder,2023,10,The Dram Shop Front St.,586.09,74,111.0,5.33,5.5
Head Full of Fresh Hops,2023,10,The Dram Shop Central,977.92,93,133.0,8.22,8.0
Head Full of Fresh Hops,2023,10,The Dram Shop Front St.,879.8,101,132.0,7.47,8.0
Helio Hefeweizen,2023,10,The Dram Shop Central,326.25,54,67.0,4.87,5.0
Hell Lager,2023,10,The Dram Shop Central,10.75,2,3.0,4.5,3.5
Hell Lager,2023,10,The Dram Shop Front St.,39.74,7,9.0,4.61,5.5
Hi-Lime,2023,10,The Dram Shop Central,107.32,14,20.0,5.36,5.5
Hi-Lime,2023,10,The Dram Shop Front St.,474.22,83,95.0,5.38,5.5
Hokkaido Yamabiko Japanese Lager,2023,10,The Dram Shop Central,15.78,2,5.0,4.5,3.5
Hokkaido Yamabiko Japanese Lager,2023,10,The Dram Shop Front St.,45.44,10,11.0,4.3,3.5
Hop Monster,2023,10,The Dram Shop Central,503.44,72,90.0,5.83,6.0
Hopnosis,2023,10,The Dram Shop Central,470.0,53,81.0,5.78,6.0
Huckleberry Seltzer,2023,10,The Dram Shop Front St.,23.12,6,6.0,4.08,4.0
Hustle,2023,10,The Dram Shop Central,146.94,21,27.0,5.42,6.0
Hustle Double IPA,2023,10,The Dram Shop Central,5.0,1,2.0,2.5,2.5
Il Bianco Pet-Nat,2023,10,The Dram Shop Central,19.0,1,1.0,19.0,19.0
Immoralite Double IPA,2023,10,The Dram Shop Central,82.25,4,11.0,7.89,8.75
Irish Death,2023,10,The Dram Shop Front St.,211.65,41,46.0,4.8,5.0
Japanese Lager,2023,10,The Dram Shop Central,325.94,55,70.0,4.86,5.0
Jester King La Vien Rose,2023,10,The Dram Shop Front St.,33.0,2,2.0,22.0,22.0
Junegrass NW IPA,2023,10,The Dram Shop Central,19.81,4,5.0,4.25,3.75
Jungle Juice,2023,10,The Dram Shop Central,663.33,89,123.0,5.41,5.5
Kabinett Riesling,2023,10,The Dram Shop Central,92.0,2,4.0,23.0,18.0
Knotty Knotty Latte Stout,2023,10,The Dram Shop Front St.,144.43,25,27.0,5.4,5.5
Kolsch,2023,10,The Dram Shop Front St.,397.81,50,62.0,7.44,7.5
L'Ephemere,2023,10,The Dram Shop Front St.,24.0,1,1.0,32.0,32.0
LUSH IPA,2023,10,The Dram Shop Front St.,29.0,4,5.0,5.88,6.0
La Belle Etoile Rose,2023,10,The Dram Shop Front St.,105.3,1,9.0,13.0,13.0
La Chouffe,2023,10,The Dram Shop Front St.,100.0,11,11.0,9.09,11.0
Las Jaras,2023,10,The Dram Shop Front St.,137.36,10,12.0,12.05,11.5
Laser Wolf,2023,10,The Dram Shop Front St.,317.32,36,45.0,7.24,7.5
Les Galets GSM,2023,10,The Dram Shop Front St.,224.25,2,10.0,23.0,23.0
Les Heretiques Rouge (Carignan),2023,10,The Dram Shop Front St.,13.5,1,1.0,15.0,15.0
Lezer,2023,10,The Dram Shop Central,53.75,2,2.0,30.0,25.0
Liberator W.E West Coast-Style IPA,2023,10,The Dram Shop Central,38.5,5,6.0,6.42,6.75
Like Raindrops Grenache,2023,10,The Dram Shop Front St.,36.0,1,1.0,36.0,36.0
Limonade Poivrée,2023,10,The Dram Shop Central,6.5,1,1.0,6.5,6.5
Litrozzo Rosso,2023,10,The Dram Shop Front St.,29.0,1,1.0,29.0,29.0
London Dry Cider,2023,10,The Dram Shop Central,415.94,58,79.0,5.51,6.0
Long White Cloud NE DIPA,2023,10,The Dram Shop Front St.,61.93,8,11.0,6.39,5.5
Lost City Altbier,2023,10,The Dram Shop Front St.,193.3,34,37.0,5.4,5.5
Love Bug,2023,10,The Dram Shop Front St.,657.07,85,101.0,6.71,7.0
Lua DIPA,2023,10,The Dram Shop Front St.,77.0,10,11.0,7.0,7.0
Lush IPA,2023,10,The Dram Shop Central,10.83,2,2.0,5.5,5.5
Lush IPA,2023,10,The Dram Shop Front St.,39.5,6,15.0,2.83,2.5
Maji Mango,2023,10,The Dram Shop Front St.,302.8,38,53.0,5.77,6.0
Malbec,2023,10,The Dram Shop Front St.,519.5,47,60.0,8.67,8.5
Manhattan NW,2023,10,The Dram Shop Central,32.07,2,2.0,16.5,14.0
Mayan Bourbonic Plague,2023,10,The Dram Shop Front St.,28.0,2,2.0,14.0,14.0
Metamorphic Flanders Red,2023,10,The Dram Shop Front St.,144.77,18,19.0,7.79,8.0
Mexican Lager,2023,10,The Dram Shop Front St.,29.5,3,6.0,5.25,6.0
Mile Hi Hefe,2023,10,The Dram Shop Front St.,139.5,25,30.0,4.9,5.0
Moose Drool,2023,10,The Dram Shop Central,160.0,25,27.0,5.93,5.5
Mother Earth Brewing Project X New Horizons Hazy IPA,2023,10,The Dram Shop Central,38.0,7,9.0,4.29,4.0
Mother Earth Brewing Project X New Horizons Hazy IPA,2023,10,The Dram Shop Front St.,4.0,1,1.0,4.0,4.0
Mountain Man Scotch,2023,10,The Dram Shop Front St.,349.88,55,66.0,5.39,5.5
Mr. Mingo,2023,10,The Dram Shop Central,22.5,3,3.0,7.5,7.5
Mr. Mingo,2023,10,The Dram Shop Front St.,14.0,2,2.0,7.0,6.0
Muscadet,2023,10,The Dram Shop Front St.,226.1,3,12.0,19.0,19.0
My Stars Shine Darkly,2023,10,The Dram Shop Central,69.33,6,6.0,12.0,11.0
Nani?! Rice Lager,2023,10,The Dram Shop Central,21.38,3,6.0,4.5,4.5
Nani?! Rice Lager,2023,10,The Dram Shop Front St.,61.73,12,15.0,4.67,4.5
Nerthus Skin Contact White,2023,10,The Dram Shop Front St.,27.0,1,1.0,27.0,27.0
Neutrino Pale,2023,10,The Dram Shop Central,10.0,2,2.0,5.0,5.0
Neutrino Pale,2023,10,The Dram Shop Front St.,4.81,1,1.0,5.0,5.0
Newtown Pippin,2023,10,The Dram Shop Central,390.22,30,36.0,11.17,10.0
Niente Panico,2023,10,The Dram Shop Central,18.0,1,1.0,24.0,24.0
Nitro Milk Truck Latte Stout,2023,10,The Dram Shop Front St.,113.0,21,22.0,5.33,6.0
O.K Lager,2023,10,The Dram Shop Central,13.75,4,5.0,2.75,2.75
O.K. Lager,2023,10,The Dram Shop Front St.,53.75,10,13.0,4.61,2.75
Oddpitch - Love Bug Hazy,2023,10,The Dram Shop Front St.,6.0,1,1.0,7.0,7.0
Oddpitch - Woodland Rites Hazy Session IPA,2023,10,The Dram Shop Front St.,43.97,6,9.0,5.0,5.0
Odyssey,2023,10,The Dram Shop Front St.,601.58,83,107.0,5.8,6.0
Oktoberfest,2023,10,The Dram Shop Central,64.0,8,17.0,3.78,4.0
Oktoberfest,2023,10,The Dram Shop Front St.,1188.53,171,207.0,5.99,6.0
Opaque Thoughts Das Haze,2023,10,The Dram Shop Front St.,36.0,3,3.0,12.0,12.0
Orange,2023,10,The Dram Shop Front St.,120.0,5,5.0,24.0,22.0
Organic Amber,2023,10,The Dram Shop Central,97.0,17,17.0,5.71,5.5
Overland IPA,2023,10,The Dram Shop Front St.,6.0,2,2.0,12.0,6.0
Pacifico Clara,2023,10,The Dram Shop Central,54.0,8,16.0,3.45,4.0
Pacifico Clara,2023,10,The Dram Shop Front St.,35.0,6,11.0,3.5,4.0
Particle Physics Pale,2023,10,The Dram Shop Front St.,5.3,1,1.0,5.5,5.5
Passionfruit Hisbiscus Sour,2023,10,The Dram Shop Central,2.75,1,1.0,2.75,2.75
Peanut Butter Milk Stout,2023,10,The Dram Shop Central,528.02,79,94.0,5.64,6.0
Pilsner,2023,10,The Dram Shop Central,1286.16,99,162.0,8.3,8.0
Pilsner,2023,10,The Dram Shop Front St.,1198.63,142,183.0,6.87,7.0
Pine Appuru,2023,10,The Dram Shop Front St.,52.0,10,12.0,4.73,4.0
Pineapple Mango Milkshake IPA,2023,10,The Dram Shop Front St.,609.0,76,89.0,7.04,7.0
Pinot Noir,2023,10,The Dram Shop Central,162.5,7,8.0,23.57,26.0
Pipeno,2023,10,The Dram Shop Front St.,67.5,4,4.0,18.0,18.0
Piquette,2023,10,The Dram Shop Central,44.62,3,5.0,10.5,10.5
Plains Traveler Hazy,2023,10,The Dram Shop Front St.,91.0,12,13.0,7.0,7.0
Pour ma Gueule,2023,10,The Dram Shop Front St.,16.5,1,1.0,16.5,16.5
Powerhouse Porter,2023,10,The Dram Shop Front St.,285.7,37,48.0,6.07,6.0
Prieto Picudo Spanish Red,2023,10,The Dram Shop Central,87.67,9,11.0,8.0,8.0
Primitivus Primitivo,2023,10,The Dram Shop Central,54.5,3,3.0,25.33,22.0
Promised Land Pear,2023,10,The Dram Shop Central,531.97,89,99.0,5.43,5.5
Promised Land Pear,2023,10,The Dram Shop Front St.,545.12,92,104.0,5.34,5.5
Pumpkin Ale,2023,10,The Dram Shop Front St.,28.0,7,7.0,4.0,4.0
Pumpkin Patch,2023,10,The Dram Shop Front St.,16.0,4,4.0,4.0,4.0
Punch,2023,10,The Dram Shop Front St.,192.22,28,37.0,5.26,6.0
Punkin Ale,2023,10,The Dram Shop Central,113.83,17,20.0,5.86,5.5
Punkin Ale,2023,10,The Dram Shop Front St.,222.0,32,38.0,5.86,5.5
Quirk Blackberry Sage,2023,10,The Dram Shop Central,190.75,30,45.0,4.79,5.0
Quirk Blueberry,2023,10,The Dram Shop Central,384.61,59,79.0,4.99,5.0
Quirk Hard Seltzer,2023,10,The Dram Shop Central,23.5,6,11.0,2.67,2.0
Quirk Hard Seltzer,2023,10,The Dram Shop Front St.,9.72,3,4.0,2.67,2.0
RPM IPA,2023,10,The Dram Shop Central,13.0,3,4.0,4.0,4.0
RPM IPA,2023,10,The Dram Shop Front St.,49.49,6,11.0,5.0,4.0
Ranch Hand,2023,10,The Dram Shop Front St.,291.2,48,64.0,5.06,6.0
Ranch Hand Hard Cider,2023,10,The Dram Shop Central,2.25,1,1.0,2.25,2.25
Raspberry Meyer Lemon Seltzer,2023,10,The Dram Shop Front St.,604.15,81,117.0,5.22,5.5
Raspberry Seltzer,2023,10,The Dram Shop Central,371.8,46,69.0,5.63,6.0
Red,2023,10,The Dram Shop Front St.,150.14,9,10.0,15.7,12.0
Red Blend,2023,10,The Dram Shop Central,23.25,1,1.0,31.0,31.0
Regnie Beaujolais,2023,10,The Dram Shop Front St.,22.0,1,1.0,22.0,22.0
Reuilly Pinot Noir,2023,10,The Dram Shop Front St.,223.2,1,9.0,31.0,26.0
Reversee,2023,10,The Dram Shop Central,36.75,2,2.0,21.0,21.0
Ride the Spiral,2023,10,The Dram Shop Central,342.27,57,68.0,5.04,5.0
Robot Panda Hazy IPA,2023,10,The Dram Shop Central,525.35,68,92.0,5.83,6.0
Rosado Piquette,2023,10,The Dram Shop Front St.,31.5,3,3.0,10.5,10.5
Rose City Sour,2023,10,The Dram Shop Front St.,26.0,3,4.0,6.17,5.5
Rose of Pinot Noir,2023,10,The Dram Shop Central,109.5,11,13.0,8.5,8.5
Rosso Barbera,2023,10,The Dram Shop Central,17.25,1,1.0,23.0,23.0
Rosso Giandon,2023,10,The Dram Shop Central,49.5,3,3.0,18.0,18.0
Rosso di Gaetano,2023,10,The Dram Shop Front St.,29.7,1,1.0,33.0,33.0
Rossofongoli,2023,10,The Dram Shop Front St.,66.0,3,3.0,24.0,24.0
Royal Apricot,2023,10,The Dram Shop Front St.,665.24,103,119.0,5.58,5.5
Rusty Nail,2023,10,The Dram Shop Front St.,141.63,13,14.0,10.36,7.25
Saison DuPont Farmhouse Ale,2023,10,The Dram Shop Front St.,94.0,9,13.0,7.56,8.0
Sauvignon Blanc,2023,10,The Dram Shop Front St.,15.0,1,1.0,15.0,15.0
Semplicemente Bianco Pet-Nat,2023,10,The Dram Shop Front St.,18.0,1,1.0,20.0,20.0
Setzer,2023,10,The Dram Shop Front St.,207.0,1,12.0,23.67,27.0
Shady IPA,2023,10,The Dram Shop Central,215.8,30,40.0,5.64,6.0
Shasta-Cascade White,2023,10,The Dram Shop Central,35.0,1,1.0,35.0,35.0
Sidra Natural,2023,10,The Dram Shop Central,231.7,47,51.0,4.64,5.0
Sidra Natural,2023,10,The Dram Shop Front St.,63.75,6,9.0,7.08,7.5
Sierra Nevada Atomic Torpedo Double IPA,2023,10,The Dram Shop Central,2.62,1,1.0,3.5,3.5
Sierra Nevada Oktoberfest,2023,10,The Dram Shop Central,382.09,58,79.0,4.91,5.0
Single Hop Pale Ale,2023,10,The Dram Shop Central,346.52,50,66.0,5.34,5.5
Sippin Pretty,2023,10,The Dram Shop Front St.,37.0,6,7.0,5.29,5.5
Skin Contact Chardonnay,2023,10,The Dram Shop Front St.,238.99,19,29.0,8.9,9.0
