clean_item_name,year,month,location,total_sales,transactions,total_quantity_sold,average_base_price,median_base_price
Myrcenary Double IPA,2021,4,The Dram Shop Front St.,511.5,60,76.0,6.95,6.0
NMWD Private Stash Carignan,2021,4,The Dram Shop Central,47.25,2,2.0,27.0,27.0
Neon Day Dream,2021,4,The Dram Shop Front St.,96.5,20,24.0,4.6,4.5
Nerthus Skin Contact White,2021,4,The Dram Shop Front St.,105.0,4,4.0,28.0,28.0
Never Say Die West Coast Double IPA,2021,4,The Dram Shop Front St.,39.0,6,7.0,6.0,6.0
New England IPA,2021,4,The Dram Shop Front St.,675.88,75,115.0,6.13,5.5
Nice Fella Pilsner,2021,4,The Dram Shop Front St.,28.94,6,8.0,3.89,2.25
Northwoods - Brown Owl ESB,2021,4,The Dram Shop Central,27.75,4,7.0,4.81,4.25
O.K Lager,2021,4,The Dram Shop Central,17.75,3,6.0,3.5,2.5
Oaked Up Plum Sour,2021,4,The Dram Shop Front St.,371.3,48,59.0,6.55,6.5
Oh Sweet Kombi-Nation Elation! Pastry Stout,2021,4,The Dram Shop Front St.,11.38,2,2.0,6.5,6.5
Ole Gus Scotch,2021,4,The Dram Shop Front St.,208.92,39,41.0,5.34,5.0
Ole Gus Scotch Rye Ale,2021,4,The Dram Shop Front St.,6.0,2,3.0,2.0,2.0
Organic Rose Cider,2021,4,The Dram Shop Central,7.0,2,2.0,3.5,3.5
Parts and Labor,2021,4,The Dram Shop Central,13.5,1,1.0,18.0,18.0
Past & Future Saison,2021,4,The Dram Shop Central,191.5,18,20.0,11.7,12.0
Pattern That Connects NEIPA,2021,4,The Dram Shop Front St.,34.68,8,10.0,3.75,3.75
Peach Stand Rambler,2021,4,The Dram Shop Central,127.5,12,25.0,5.25,4.5
Pearfection,2021,4,The Dram Shop Central,598.93,86,132.0,4.62,4.5
Pet Nat Rose,2021,4,The Dram Shop Central,346.14,22,32.0,11.27,10.5
Pet-Nat Rose',2021,4,The Dram Shop Front St.,60.0,2,2.0,30.0,30.0
Petillant Pet Nat,2021,4,The Dram Shop Front St.,700.57,61,91.0,8.31,8.0
Pig War Hazy IPA,2021,4,The Dram Shop Front St.,237.0,30,41.0,6.6,6.0
Pineapple Express,2021,4,The Dram Shop Front St.,823.5,116,153.0,5.65,5.5
Pinot Grigio,2021,4,The Dram Shop Central,71.5,8,11.0,6.5,6.5
Pinot Noir,2021,4,The Dram Shop Central,480.5,25,41.0,12.12,10.0
Pinot Noir,2021,4,The Dram Shop Front St.,26.0,1,1.0,26.0,26.0
Polygamy Porter Nitro,2021,4,The Dram Shop Central,181.84,38,46.0,3.96,4.0
Praga Pilsner,2021,4,The Dram Shop Front St.,6.75,3,3.0,2.25,2.25
Pre-Rolled Double IPA,2021,4,The Dram Shop Front St.,559.9,69,95.0,6.17,6.0
Prosecco,2021,4,The Dram Shop Front St.,25.0,1,5.0,5.0,5.0
Quadrophonic,2021,4,The Dram Shop Front St.,116.25,14,14.0,8.57,7.5
Ranch Hand,2021,4,The Dram Shop Front St.,575.33,100,138.0,4.48,4.0
Raspberry Milk Stout,2021,4,The Dram Shop Central,285.7,46,54.0,5.47,5.5
Red Blend,2021,4,The Dram Shop Central,107.59,13,16.0,6.78,7.0
Red Cap Pinot Noir,2021,4,The Dram Shop Central,139.02,14,21.0,8.89,8.0
Reissdorf Kölsch,2021,4,The Dram Shop Front St.,0.0,1,4.0,3.5,3.5
Robot Panda Hazy IPA,2021,4,The Dram Shop Central,1087.13,142,198.0,5.64,5.5
Rocky Mountain Kolsch,2021,4,The Dram Shop Central,51.75,7,12.0,4.5,4.5
Rose of Pinot Noir,2021,4,The Dram Shop Central,179.0,15,20.0,9.06,8.0
Rose' of Dolcetto,2021,4,The Dram Shop Central,431.25,26,51.0,8.87,8.5
Rosé of Dolcetto,2021,4,The Dram Shop Front St.,532.66,35,61.0,9.05,8.5
Sacrilege Sour Cherry,2021,4,The Dram Shop Central,347.06,54,76.0,4.7,4.5
Saison,2021,4,The Dram Shop Front St.,259.85,27,29.0,9.64,9.0
Salmon Fly Honey Rye,2021,4,The Dram Shop Central,339.91,51,74.0,4.73,4.5
Salted Caramel Stout,2021,4,The Dram Shop Central,261.74,34,40.0,6.55,6.5
Sangiovese,2021,4,The Dram Shop Front St.,239.0,20,31.0,10.06,9.5
Sauvignon Blanc,2021,4,The Dram Shop Front St.,759.21,56,92.0,8.51,8.0
Scottish Ale,2021,4,The Dram Shop Central,411.35,67,85.0,4.96,5.0
Seekout Clementine + Grapefruit Seltzer,2021,4,The Dram Shop Central,28.0,6,7.0,4.0,4.0
Seekout Seltzer,2021,4,The Dram Shop Front St.,21.5,9,11.0,2.0,2.0
Shady NEIPA,2021,4,The Dram Shop Central,1080.74,121,185.0,5.94,5.5
She Sells Sea Shells Saison,2021,4,The Dram Shop Central,307.48,51,68.0,5.07,5.0
Sidra Espumante 2018,2021,4,The Dram Shop Central,191.75,20,30.0,6.38,6.5
Sidra Natural,2021,4,The Dram Shop Front St.,110.0,19,23.0,5.0,5.0
Sigrid Rustic Belgian Style Quad Ale,2021,4,The Dram Shop Central,18.5,1,1.0,18.5,18.5
Sippin Pretty,2021,4,The Dram Shop Front St.,67.5,12,16.0,4.18,4.5
Sky Kraken Hazy Pale Ale,2021,4,The Dram Shop Central,5.0,2,3.0,2.0,2.0
Sky Kraken Hazy Pale Ale,2021,4,The Dram Shop Front St.,12.0,3,7.0,2.0,2.0
Slightly Mighty IPA,2021,4,The Dram Shop Central,333.29,53,66.0,5.18,5.0
Slightly Mighty IPA,2021,4,The Dram Shop Front St.,585.75,86,122.0,5.07,5.0
Smoked Porter,2021,4,The Dram Shop Front St.,239.25,32,41.0,5.96,5.5
Solera Sour,2021,4,The Dram Shop Front St.,358.0,55,62.0,6.12,6.0
Space Camper Hazy IPA,2021,4,The Dram Shop Central,1233.56,183,270.0,4.75,4.5
Space Danger,2021,4,The Dram Shop Central,708.83,108,162.0,4.74,4.5
Space Danger IPA,2021,4,The Dram Shop Front St.,8.0,2,4.0,2.0,2.0
Space Goat,2021,4,The Dram Shop Front St.,85.04,13,19.0,4.5,4.5
Sparkling Rose,2021,4,The Dram Shop Central,52.0,2,2.0,26.0,21.0
Sparkling Rose,2021,4,The Dram Shop Front St.,21.0,1,1.0,21.0,21.0
Spring Haze,2021,4,The Dram Shop Front St.,222.62,41,50.0,4.74,4.5
St. Bernardus Abt 12 Quadruple,2021,4,The Dram Shop Central,30.0,2,2.0,15.0,15.0
St. Bernardus Abt 12 Quadruple,2021,4,The Dram Shop Front St.,15.0,1,1.0,15.0,15.0
St. Pauli Girl - Non-Alcoholic,2021,4,The Dram Shop Central,2.0,1,1.0,2.0,2.0
Stay West IPA,2021,4,The Dram Shop Central,467.5,51,82.0,6.36,6.0
Stone IPA,2021,4,The Dram Shop Central,218.09,36,49.0,4.63,4.5
Stoner Fruit Apricot Sour,2021,4,The Dram Shop Central,26.0,2,4.0,6.5,6.5
Strawberry Wheat,2021,4,The Dram Shop Central,92.0,13,19.0,4.91,4.5
Super Pils,2021,4,The Dram Shop Central,869.76,132,201.0,4.69,4.5
Super Pils,2021,4,The Dram Shop Front St.,1521.73,241,350.0,4.61,4.5
Sweet + Salty Stout with Maple Syrup,2021,4,The Dram Shop Central,30.13,5,5.0,6.3,5.5
Sweets - Fruited Berlinerweisse,2021,4,The Dram Shop Central,34.0,4,5.0,7.0,6.0
Sweets Fruited Berliner Weisse,2021,4,The Dram Shop Central,10.5,2,2.0,6.0,6.0
Symbiosis,2021,4,The Dram Shop Front St.,21.5,1,1.0,21.5,21.5
Tendu Vermentino,2021,4,The Dram Shop Central,39.25,3,4.0,10.88,8.5
Teton Range Juicy IPA,2021,4,The Dram Shop Front St.,460.86,74,111.0,4.58,4.5
The Waldos' Special Ale,2021,4,The Dram Shop Front St.,319.3,35,53.0,6.48,5.5
Thick Haze IPA,2021,4,The Dram Shop Central,94.5,20,22.0,4.39,4.5
Thor Double IPA,2021,4,The Dram Shop Central,539.61,56,82.0,7.27,7.0
Thunder Mountain IPA,2021,4,The Dram Shop Front St.,69.5,11,14.0,5.0,4.5
Tournage Riant Rose,2021,4,The Dram Shop Central,20.0,1,1.0,20.0,20.0
Tumbleweed IPA,2021,4,The Dram Shop Front St.,174.13,29,39.0,5.03,5.0
Twisted Karma Raspberry Sour,2021,4,The Dram Shop Front St.,35.62,7,11.0,3.75,3.75
Unfiltered Grapefruit Wheat,2021,4,The Dram Shop Front St.,454.09,70,98.0,4.9,4.5
Unfiltered Organic Amber,2021,4,The Dram Shop Front St.,442.63,65,95.0,4.91,4.5
Vanilla Porter,2021,4,The Dram Shop Front St.,133.13,25,26.0,5.17,5.0
Viking Space Probe,2021,4,The Dram Shop Front St.,158.5,17,21.0,7.55,6.0
Vindemiatrix,2021,4,The Dram Shop Front St.,16.5,1,1.0,22.0,22.0
Viva La Pineapple Rev Nat's,2021,4,The Dram Shop Central,3.0,1,1.0,3.0,3.0
Viva La Pineapple!,2021,4,The Dram Shop Front St.,28.0,2,4.0,7.0,3.0
Voria Pet Nat of Perricone,2021,4,The Dram Shop Central,21.5,1,1.0,21.5,21.5
Wabi Sabi Red,2021,4,The Dram Shop Central,112.23,11,19.0,8.5,8.5
Weihenstephaner Hefe Weissbier,2021,4,The Dram Shop Central,4.5,1,1.0,4.5,4.5
Weissbier,2021,4,The Dram Shop Central,491.13,59,101.0,5.13,5.0
Weizen,2021,4,The Dram Shop Central,276.0,35,44.0,6.5,6.0
What Rough Beast Hazy,2021,4,The Dram Shop Central,5.62,2,2.0,3.75,3.75
Whiskey Barrel Stout,2021,4,The Dram Shop Front St.,111.0,8,11.0,10.4,7.0
Whiskey Peach Barrel-Aged,2021,4,The Dram Shop Central,443.25,52,72.0,6.21,6.0
White Stout,2021,4,The Dram Shop Front St.,492.18,73,93.0,5.59,5.5
Why Try So Hard Skin Contact Verdehlo Blend,2021,4,The Dram Shop Central,31.0,1,1.0,31.0,31.0
Willow Creek Chardonnay,2021,4,The Dram Shop Central,18.38,1,1.0,24.5,24.5
les Traverses Cabernet Sauvignon,2021,4,The Dram Shop Front St.,18.0,1,1.0,18.0,18.0
reserva cab sauv,2021,4,The Dram Shop Central,202.21,21,28.0,7.85,7.5
"|Z Grenache Noir Swick Wines - Columbia Valley, Washington / 2019| Grenache Noir | Swick Wines | 2019 |",2021,4,The Dram Shop Front St.,22.0,1,1.0,22.0,22.0
2x4 Double IPA,2021,3,The Dram Shop Front St.,198.5,23,31.0,6.52,6.0
60 Minute IPA,2021,3,The Dram Shop Front St.,214.22,30,43.0,5.23,5.0
90 Minute IPA,2021,3,The Dram Shop Front St.,324.22,41,55.0,6.24,5.5
Ace of Hearts Imperial Red Ale,2021,3,The Dram Shop Front St.,11.0,2,2.0,5.5,5.5
African Amber,2021,3,The Dram Shop Central,188.35,29,42.0,4.67,4.5
Agori White,2021,3,The Dram Shop Front St.,30.0,1,1.0,30.0,30.0
Albarino,2021,3,The Dram Shop Central,267.71,30,33.0,8.18,7.5
Alchemy New England Pale Ale,2021,3,The Dram Shop Central,46.94,5,10.0,4.75,4.75
Alchemy New England Pale Ale,2021,3,The Dram Shop Front St.,4.75,1,1.0,4.75,4.75
All Rise DDH New England Double IPA,2021,3,The Dram Shop Central,84.0,10,15.0,6.0,6.0
Alt Dunkel,2021,3,The Dram Shop Central,12.0,2,3.0,4.0,4.0
Alternating Currant Juicy IPA,2021,3,The Dram Shop Central,32.25,4,7.0,5.0,4.5
Angle of Repose Rose,2021,3,The Dram Shop Central,23.0,1,1.0,23.0,23.0
Apricot Hefe,2021,3,The Dram Shop Central,388.58,56,89.0,4.52,4.0
Arcese,2021,3,The Dram Shop Front St.,39.0,1,2.0,19.5,19.5
Augustin 13° Czech-Style Amber,2021,3,The Dram Shop Central,34.87,7,8.0,4.5,4.5
Ayinger Jahrhundert Bier,2021,3,The Dram Shop Front St.,7.88,2,3.0,3.5,3.5
B-Bomb Barrel Aged Winter Ale,2021,3,The Dram Shop Front St.,337.23,26,33.0,11.19,10.0
Back in da Haze,2021,3,The Dram Shop Front St.,378.82,59,88.0,4.68,4.5
Banana Maple Syrup Sour,2021,3,The Dram Shop Front St.,25.25,1,3.0,8.42,6.0
Barley Ridge Nut Brown,2021,3,The Dram Shop Front St.,183.99,36,41.0,4.67,4.5
Berry Gose,2021,3,The Dram Shop Front St.,460.25,58,77.0,6.07,6.0
Bianchetto (Skin Contact),2021,3,The Dram Shop Front St.,106.88,4,4.0,28.5,28.5
Big Little Thing,2021,3,The Dram Shop Front St.,351.44,55,75.0,5.12,4.5
Big Little Thing Imperial IPA,2021,3,The Dram Shop Central,27.29,7,8.0,3.75,3.5
Bitburger Pilsner,2021,3,The Dram Shop Central,23.91,4,8.0,3.0,3.0
Black Steer's Tookus,2021,3,The Dram Shop Central,354.04,52,67.0,5.4,5.0
Blackfoot Single Malt IPA,2021,3,The Dram Shop Central,1881.65,179,318.0,6.01,5.5
Blackfoot Single Malt IPA,2021,3,The Dram Shop Front St.,1381.49,156,224.0,6.32,5.5
Bliss Apricot & Brett,2021,3,The Dram Shop Front St.,8.5,1,1.0,8.5,8.5
Blue Collar ESB,2021,3,The Dram Shop Central,487.56,65,88.0,5.76,5.5
Botijo Rojo - Garnacha,2021,3,The Dram Shop Central,51.28,4,8.0,6.5,6.5
Bourbon County Brand Special #4 Stout,2021,3,The Dram Shop Central,24.26,1,1.0,25.0,25.0
Bourbon County Brand Special #4 Stout,2021,3,The Dram Shop Front St.,75.0,2,3.0,25.0,25.0
Branding Iron Black IPA,2021,3,The Dram Shop Front St.,429.32,66,92.0,5.14,4.5
Break Apart Orange Cream,2021,3,The Dram Shop Front St.,357.95,58,66.0,5.53,5.5
Breakfast Stout,2021,3,The Dram Shop Central,326.35,51,60.0,5.6,5.5
Bring It! Red Blend,2021,3,The Dram Shop Central,29.5,1,1.0,29.5,29.5
Bring It! Red Blend,2021,3,The Dram Shop Front St.,53.62,3,3.0,19.5,19.5
Brut Cidre,2021,3,The Dram Shop Central,19.63,3,3.0,7.0,7.0
Burgenland Osterreich Red,2021,3,The Dram Shop Central,18.0,1,1.0,18.0,18.0
Burgenland Osterreich Red,2021,3,The Dram Shop Front St.,31.5,2,2.0,18.0,18.0
CBS,2021,3,The Dram Shop Central,84.15,8,11.0,8.18,9.0
Cabernet Blend,2021,3,The Dram Shop Central,19.0,2,2.0,9.5,9.5
Cabernet Sauvignon,2021,3,The Dram Shop Central,625.52,37,52.0,13.43,9.5
Calendas Tempranillo Garnacha blend,2021,3,The Dram Shop Central,55.0,4,4.0,14.5,12.0
California Red Blend,2021,3,The Dram Shop Front St.,25.5,4,4.0,8.5,8.5
Campfire Stout,2021,3,The Dram Shop Central,6.56,2,2.0,3.75,3.75
Campfire Stout,2021,3,The Dram Shop Front St.,18.75,2,5.0,3.75,3.75
Carlsberg Lager,2021,3,The Dram Shop Central,1148.08,125,232.0,5.6,5.5
Chardonnay Barrel Aged Saison,2021,3,The Dram Shop Front St.,348.36,52,67.0,5.55,5.0
Chocolate Box Choc. Imp. Stout,2021,3,The Dram Shop Front St.,452.31,31,34.0,13.71,12.0
Chopping Wood Schwarzbier Dark Lager,2021,3,The Dram Shop Front St.,24.0,7,8.0,3.0,3.0
Citra Pale,2021,3,The Dram Shop Central,282.59,39,53.0,5.49,5.5
City Pop! Pet-Nat,2021,3,The Dram Shop Front St.,46.55,2,2.0,24.5,24.5
Clutch Cider,2021,3,The Dram Shop Front St.,370.85,37,51.0,7.67,7.5
Conestabile Della Staffa Bianco,2021,3,The Dram Shop Central,19.0,1,1.0,19.0,19.0
Conflux 18th Amendment Porter,2021,3,The Dram Shop Central,221.06,42,47.0,4.91,4.5
Contemporary Fashion Sour Quad Ale,2021,3,The Dram Shop Front St.,325.05,21,29.0,11.74,12.0
Corkage Fee,2021,3,The Dram Shop Central,4.0,2,2.0,2.0,2.0
Corners Porter Coffee Porter,2021,3,The Dram Shop Central,275.4,43,53.0,5.41,5.0
Creamsicle Tangerine Milkshake IPA,2021,3,The Dram Shop Front St.,120.97,17,19.0,6.42,5.5
Creeper Pigeon,2021,3,The Dram Shop Central,548.74,77,92.0,6.01,5.5
Cucumber Lime Gose,2021,3,The Dram Shop Central,11.5,1,2.0,5.75,5.75
Dankful IPA,2021,3,The Dram Shop Central,417.84,72,95.0,4.66,4.5
Death Before Disco Porter,2021,3,The Dram Shop Front St.,48.53,10,10.0,4.98,5.0
Deemed Essential,2021,3,The Dram Shop Central,254.89,39,57.0,5.08,5.0
Delirium Black,2021,3,The Dram Shop Central,487.86,33,41.0,13.05,14.0
Delirium Tremens,2021,3,The Dram Shop Central,26.0,4,4.0,6.5,6.0
Delirium Tremens,2021,3,The Dram Shop Front St.,60.0,4,10.0,6.0,6.0
Devil's Hump Red,2021,3,The Dram Shop Central,89.54,16,19.0,4.84,4.5
Domaine de la Patience Rose,2021,3,The Dram Shop Front St.,6.5,1,1.0,6.5,6.5
Domaine du Verger Brut Cidre Bouché,2021,3,The Dram Shop Front St.,9.0,1,1.0,9.0,9.0
Doom Hazy IPA,2021,3,The Dram Shop Central,600.75,82,104.0,5.84,5.5
Dry Cider,2021,3,The Dram Shop Front St.,34.54,4,5.0,7.5,7.5
Dry Sparkling Rosé,2021,3,The Dram Shop Central,15.0,2,3.0,5.0,5.0
Dubbel Merlau,2021,3,The Dram Shop Central,192.48,17,18.0,10.82,9.0
Duchesse De Bourgogne,2021,3,The Dram Shop Front St.,14.0,1,1.0,14.0,14.0
Duchesse de Bourgogne,2021,3,The Dram Shop Central,28.0,2,2.0,14.0,14.0
Dulle Teve Tripel,2021,3,The Dram Shop Central,6.5,1,1.0,6.5,6.5
Dupont Foret Organic Saison,2021,3,The Dram Shop Central,22.0,1,1.0,22.0,22.0
Dupont Foret Organic Saison,2021,3,The Dram Shop Front St.,36.0,2,3.0,12.0,12.0
Extra Special Export Stout,2021,3,The Dram Shop Central,6.5,1,1.0,6.5,6.5
Eyrie Pinot Gris,2021,3,The Dram Shop Front St.,120.0,13,15.0,8.0,8.0
Farmhouse Estate Cider,2021,3,The Dram Shop Front St.,102.12,5,5.0,21.5,21.5
Features & Benefits,2021,3,The Dram Shop Central,52.76,11,12.0,4.5,4.5
Fernandito Sour Ale,2021,3,The Dram Shop Central,54.0,3,3.0,18.0,18.0
Fernandito Sour Ale,2021,3,The Dram Shop Front St.,13.5,1,1.0,18.0,18.0
Flash Flood Milk Stout,2021,3,The Dram Shop Front St.,402.44,79,92.0,4.64,4.5
Flathead Cherry,2021,3,The Dram Shop Front St.,147.86,23,34.0,4.43,4.5
Flying Embers Hard Seltzer,2021,3,The Dram Shop Front St.,20.0,4,10.0,2.0,2.0
Found Fortune Double IPA,2021,3,The Dram Shop Central,57.99,11,12.0,5.5,5.5
Found Fortune Double IPA,2021,3,The Dram Shop Front St.,319.06,42,54.0,6.05,5.5
Founders Porter,2021,3,The Dram Shop Front St.,212.84,29,44.0,5.01,4.5
Framboise Northwest,2021,3,The Dram Shop Central,269.0,22,24.0,11.71,12.0
Fritz Muller Sparkling Rose,2021,3,The Dram Shop Central,18.5,1,1.0,18.5,18.5
From the Tank Rosé,2021,3,The Dram Shop Central,411.34,37,63.0,6.65,6.5
Funky Peachadelic Brett Tripel,2021,3,The Dram Shop Front St.,254.48,36,44.0,5.87,5.5
Galactic Cowboy Nitro Imp Stout,2021,3,The Dram Shop Central,136.68,20,25.0,5.5,5.5
Gamay Noir,2021,3,The Dram Shop Front St.,57.0,2,2.0,28.5,28.5
Giggle Nuggets Dank IPA,2021,3,The Dram Shop Central,1104.82,123,185.0,6.24,6.0
Golden Belgian,2021,3,The Dram Shop Central,153.0,17,27.0,5.88,6.0
Golden Pilsner,2021,3,The Dram Shop Central,471.79,73,114.0,4.62,4.5
Gonk Amber,2021,3,The Dram Shop Front St.,626.9,91,138.0,4.68,4.5
Gran Passione Rosso,2021,3,The Dram Shop Central,85.63,9,10.0,8.82,6.5
Grapefruit Radler,2021,3,The Dram Shop Central,5.0,1,1.0,5.0,5.0
Grazing Clouds Hazy IPA,2021,3,The Dram Shop Front St.,1022.09,127,195.0,5.79,5.5
Green's Gluten Free IPA,2021,3,The Dram Shop Front St.,6.5,1,1.0,6.5,6.5
Green's Gluten Reduced Amber Ale,2021,3,The Dram Shop Central,8.5,1,1.0,8.5,8.5
Grenache Noir,2021,3,The Dram Shop Central,93.5,5,5.0,22.0,22.0
Grisette Table Beer,2021,3,The Dram Shop Front St.,62.54,10,10.0,6.8,8.0
Groomer Märzen,2021,3,The Dram Shop Front St.,4.0,1,2.0,2.0,2.0
Gruner Veltliner,2021,3,The Dram Shop Front St.,16.0,1,1.0,16.0,16.0
Gurutzeta Sagardoa Basque Cider,2021,3,The Dram Shop Front St.,11.0,1,1.0,11.0,11.0
Hand Rolled IPA,2021,3,The Dram Shop Front St.,607.81,72,106.0,5.84,5.5
Harvest Moon Beltian White,2021,3,The Dram Shop Front St.,441.73,81,105.0,4.41,4.5
Harvestfest,2021,3,The Dram Shop Central,41.25,8,10.0,4.95,5.5
Haybag Hefe,2021,3,The Dram Shop Central,564.55,79,129.0,4.57,4.5
Haybag Hefe,2021,3,The Dram Shop Front St.,111.73,18,26.0,4.32,4.5
Hazer Tag,2021,3,The Dram Shop Front St.,209.86,37,51.0,4.45,4.5
Hazy Little Thing,2021,3,The Dram Shop Front St.,359.8,58,85.0,4.71,4.5
Hazy Memory IPA,2021,3,The Dram Shop Front St.,21.75,7,8.0,3.0,3.0
Head Full of Dynamite,2021,3,The Dram Shop Front St.,260.28,29,44.0,6.13,6.0
Head Full of Fresh Hops,2021,3,The Dram Shop Central,80.64,18,22.0,3.97,3.75
Helles Lager,2021,3,The Dram Shop Front St.,1097.19,136,212.0,5.53,5.5
Higher Plane Hazy Imperial IPA,2021,3,The Dram Shop Central,373.22,56,71.0,5.53,5.0
Huckleberry Cream,2021,3,The Dram Shop Central,701.63,109,140.0,5.19,5.0
Il Rosso Lambrusco Emilia IGT,2021,3,The Dram Shop Central,18.0,1,1.0,18.0,18.0
Irish Twins Imperial Irish Red,2021,3,The Dram Shop Central,497.07,61,76.0,6.74,5.5
Jamaica Orange Sour with Hibiscus,2021,3,The Dram Shop Central,518.6,50,68.0,7.87,8.0
Jonathon Cider,2021,3,The Dram Shop Front St.,8.75,1,1.0,8.75,8.75
Juicy Hazy Session,2021,3,The Dram Shop Central,457.34,76,114.0,4.22,4.0
Kronnenbourg 1664 Blanc,2021,3,The Dram Shop Front St.,132.89,21,27.0,5.7,5.5
LUSH IPA,2021,3,The Dram Shop Front St.,1020.38,143,226.0,4.99,5.0
La Bueilloise Pet Nat,2021,3,The Dram Shop Front St.,23.63,1,1.0,31.5,31.5
Lagunitas IPA,2021,3,The Dram Shop Central,170.0,21,34.0,5.14,5.0
Lagunitas IPA,2021,3,The Dram Shop Front St.,5.5,1,2.0,2.75,2.75
Le Renard Ruse Pinot Noir,2021,3,The Dram Shop Central,16.0,1,1.0,16.0,16.0
Lockhorn,2021,3,The Dram Shop Central,9.0,2,3.0,3.0,3.0
Lockhorn Cider,2021,3,The Dram Shop Front St.,13.0,3,4.0,3.25,3.25
Lockhorn Grapefruit Mint Cider,2021,3,The Dram Shop Central,20.0,1,4.0,5.0,5.0
Lockhorn Raspberry Cider,2021,3,The Dram Shop Front St.,9.75,2,3.0,3.25,3.25
Luna Joe Coffee Lager,2021,3,The Dram Shop Central,64.17,14,15.0,4.5,4.5
Mac and Jack's African Amber,2021,3,The Dram Shop Central,15.29,3,5.0,3.5,4.0
Magic Hobo Monkey,2021,3,The Dram Shop Front St.,545.39,83,112.0,5.24,5.0
Mango con Chile Sour,2021,3,The Dram Shop Central,302.02,57,71.0,4.46,4.5
Manhattan NW,2021,3,The Dram Shop Central,53.25,3,3.0,19.67,23.0
Marshal Zhukov's Imperial Stout,2021,3,The Dram Shop Central,15.0,1,1.0,15.0,15.0
McIntosh,2021,3,The Dram Shop Central,28.21,3,4.0,7.81,6.0
McIntosh,2021,3,The Dram Shop Front St.,689.78,94,116.0,6.1,6.0
McIntosh Single Variety Cider,2021,3,The Dram Shop Front St.,19.5,2,2.0,9.75,9.75
Merlot,2021,3,The Dram Shop Central,408.87,34,47.0,10.24,9.5
Mind Haze,2021,3,The Dram Shop Central,527.87,56,94.0,5.83,5.5
Mind Haze IPA,2021,3,The Dram Shop Front St.,7.0,2,2.0,3.5,3.5
Modelo Especial,2021,3,The Dram Shop Central,3.25,1,1.0,3.25,3.25
Modelo Especial,2021,3,The Dram Shop Front St.,8.25,4,6.0,1.5,1.5
Monkey Fist IPA,2021,3,The Dram Shop Front St.,6.87,3,3.0,2.5,2.5
Monks Cafe Flemish Sour,2021,3,The Dram Shop Central,10.5,2,3.0,3.5,3.5
Montemelino Malpasso Rosso,2021,3,The Dram Shop Central,58.5,2,3.0,19.5,19.5
Morphos Pet-Nat,2021,3,The Dram Shop Central,89.06,4,5.0,18.75,18.75
Morphos Pet-Nat,2021,3,The Dram Shop Front St.,259.73,12,14.0,18.75,18.75
Morphos Pet-Nat Rose',2021,3,The Dram Shop Front St.,816.18,75,105.0,8.43,8.0
Mosaic SMaSH IPA,2021,3,The Dram Shop Central,1075.31,163,209.0,5.34,5.0
Most,2021,3,The Dram Shop Front St.,44.0,3,8.0,5.5,5.5
Most Classic German Cider,2021,3,The Dram Shop Central,261.65,35,40.0,6.88,6.5
Moteuka Cloud Curtain Hazy Double IPA,2021,3,The Dram Shop Front St.,60.81,7,8.0,8.07,5.75
Mountain Dry Cider,2021,3,The Dram Shop Central,531.89,50,69.0,8.11,7.5
Mountain Dry Cider,2021,3,The Dram Shop Front St.,286.93,25,29.0,10.39,7.5
Mountain Man Scotch,2021,3,The Dram Shop Central,308.72,43,70.0,4.63,4.5
Mountains Walking Strata Cloud Curtain,2021,3,The Dram Shop Central,36.04,4,6.0,7.0,6.0
Mulatschak Red,2021,3,The Dram Shop Front St.,0.0,1,1.0,21.0,21.0
Mulatschak Roter Red,2021,3,The Dram Shop Central,15.75,1,1.0,21.0,21.0
Myrcenary Double IPA,2021,3,The Dram Shop Front St.,62.5,10,12.0,5.68,6.0
NZL-60 Cloud Curtain,2021,3,The Dram Shop Central,404.26,40,54.0,7.54,7.0
Neon Rainbows NEIPA,2021,3,The Dram Shop Central,566.84,64,96.0,6.09,5.5
Never Say Die West Coast Double IPA,2021,3,The Dram Shop Front St.,12.0,2,2.0,6.0,6.0
New England IPA,2021,3,The Dram Shop Front St.,191.86,27,33.0,5.98,5.5
Nice Fella Pilsner,2021,3,The Dram Shop Front St.,30.19,11,12.0,2.77,2.25
Nitro Chai Milk Stout,2021,3,The Dram Shop Front St.,2.75,1,1.0,2.75,2.75
Northwest IPA,2021,3,The Dram Shop Central,42.62,9,9.0,5.0,5.0
O.K. Lager,2021,3,The Dram Shop Central,10.0,1,4.0,2.5,2.5
O.K. Lager,2021,3,The Dram Shop Front St.,24.25,7,12.0,3.31,2.5
Oaked Up Plum Sour,2021,3,The Dram Shop Front St.,577.98,68,88.0,6.63,6.5
Obreptice Blanc Vermentino,2021,3,The Dram Shop Front St.,21.38,1,1.0,28.5,28.5
Ole Gus Scotch,2021,3,The Dram Shop Front St.,240.71,45,50.0,5.04,5.0
Omission Pale,2021,3,The Dram Shop Central,4.0,1,1.0,4.0,4.0
Omission Pale Ale,2021,3,The Dram Shop Central,2.0,1,1.0,2.0,2.0
Orange Bianco,2021,3,The Dram Shop Front St.,57.0,2,2.0,28.5,28.5
Organic Rose Cider,2021,3,The Dram Shop Central,5.24,2,2.0,3.5,3.5
Outer Darkness,2021,3,The Dram Shop Front St.,5.5,1,1.0,5.5,5.5
Oyster River Dry Cider,2021,3,The Dram Shop Central,8.5,1,1.0,8.5,8.5
