customer_identifier,year,month,total_money,total_discount_money,total_tip_money,transactions
1JXMQCB6756AHBJNG6ZXZND148,2020,10,17.0,0.0,2.0,1
1JXMQCB6756AHBJNG6ZXZND148,2021,3,14.5,0.0,2.5,1
1JXMQCB6756AHBJNG6ZXZND148,2021,4,15.0,0.0,2.0,1
1JXMQCB6756AHBJNG6ZXZND148,2021,5,37.5,0.0,6.0,2
1K4AQQDY4H17GZ0SZZR5SPBXBG,2017,7,15.0,0.0,3.0,1
1KQW4TP1D91E5BNBSB9NNZB6Y0,2021,10,145.5,0.0,2.5,2
1KQW4TP1D91E5BNBSB9NNZB6Y0,2022,1,21.0,0.0,2.0,1
1KQW4TP1D91E5BNBSB9NNZB6Y0,2022,2,46.5,0.0,8.0,1
1KQW4TP1D91E5BNBSB9NNZB6Y0,2022,4,20.0,0.0,4.0,1
1KQW4TP1D91E5BNBSB9NNZB6Y0,2022,5,26.0,0.0,5.0,2
1KQW4TP1D91E5BNBSB9NNZB6Y0,2022,10,20.5,0.0,4.0,1
1KQW4TP1D91E5BNBSB9NNZB6Y0,2022,12,29.0,0.0,5.0,2
1KQW4TP1D91E5BNBSB9NNZB6Y0,2023,3,71.0,0.0,12.0,1
1KQW4TP1D91E5BNBSB9NNZB6Y0,2023,4,16.0,0.0,3.0,1
1KQW4TP1D91E5BNBSB9NNZB6Y0,2023,5,39.5,0.0,7.0,1
1KQW4TP1D91E5BNBSB9NNZB6Y0,2023,6,46.5,0.0,8.0,1
1KQW4TP1D91E5BNBSB9NNZB6Y0,2023,10,32.75,0.0,6.0,1
1M5CT35X5N52CSQ3HGGPW2F3NW,2018,12,17.5,0.0,3.0,1
1MB38AP22N274V9XTFW2PWXFR4,2018,6,14.0,0.0,2.0,1
1MK5RD1XQH2JQE5J83QYM7YSEC,2020,8,18.0,6.0,6.0,1
1NY3M2KAZH4G165G1DTEERH4B8,2022,5,19.0,0.0,4.0,1
1PS9XQ2BPD2VWHTDVE39JP8DNC,2019,2,5.5,0.0,1.0,1
1QW4YT8GDS1HF7G38BYPVQTV88,2016,8,17.0,0.0,2.0,1
1QW4YT8GDS1HF7G38BYPVQTV88,2018,10,11.0,0.0,2.0,1
1R9NZVXB2X0NQFKMP1B5Z3ZK2M,2022,7,19.0,0.0,2.0,1
1R9NZVXB2X0NQFKMP1B5Z3ZK2M,2023,8,16.0,0.0,2.0,1
1RSF1ADPWX66AN489MKG5RXA50,2015,8,38.0,0.0,5.0,1
1RSF1ADPWX66AN489MKG5RXA50,2017,2,4.0,2.0,1.0,1
1SCW0XYK7X1YD00HQZCRZ4JBNM,2022,6,22.8,0.0,3.8,1
1SCW0XYK7X1YD00HQZCRZ4JBNM,2022,7,12.0,0.0,2.0,1
1SCW0XYK7X1YD00HQZCRZ4JBNM,2022,8,34.0,0.0,5.5,1
1SCW0XYK7X1YD00HQZCRZ4JBNM,2023,2,20.0,0.0,4.0,1
1SCW0XYK7X1YD00HQZCRZ4JBNM,2023,7,12.0,0.0,2.0,1
1SWNAHJZNN05B44X0KZ5AYQ6BM,2021,10,18.5,0.0,3.0,2
1SWNAHJZNN05B44X0KZ5AYQ6BM,2022,4,12.5,0.0,3.0,1
1T7NBZF9PD24N3KJCN1CB1KD7R,2021,8,5.5,0.0,1.0,1
1TGHMGS5054PTM404P8J17EZXM,2019,1,29.0,0.0,4.0,1
1V9PCQPG2D7PHFBN9V5GADFDJ4,2021,11,13.0,0.0,2.5,1
1VM74JVA0H34FFJ00FH1EQEKYM,2019,10,29.5,0.0,5.75,2
1WSDF9A3CS17GH221G99TV2FZC,2016,2,11.0,0.0,2.0,1
1X42M3PP9G9Q2WKF6KAQGZ4D2C,2023,7,12.0,0.0,2.0,1
